Total,5713052.0,,5713057.0,5713063.0,5713158.0,5713329.0,,5772114.0,5713387.0,,,,,,,,5713426.0,,,,,,,,,,,,5713447.0,,,,5713466.0,,,,,
,0.01,0.4951,3.0,,2.0,1.44,281.0,90.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0426,3.0,2.0,0.0426,0.05,1.0,,,,,2.0,1.9896859999999998,-3.62,-2.38,39.0,9.0,0.0,3.32,-39.4,117.4
54.5,0.0,4.0,0.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,2,0.0,0,0,0.0,0.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0
,1.22,0.1112,2.0,0.875,6.0,2.17,518.0,101.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,0.046,3.0,2.0,0.046,,0.0,1.2223,0.2206,0.0,5.0,2.0,2.17,-3.89,1.8900000000000001,107.0,9.0,1.0,2.62,-60.9,274.9
82,4.0,4.0,0.0,6.0,7.0,4.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.65,0.2563,2.0,0.5,2.0,1.514,230.0,103.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0324,3.0,4.0,0.0324,0.05,0.0,2.961,0.048,1.0,2.0,2.0,1.346,-11.2,-10.8,35.0,7.0,1.0,2.92,-69.3,139.3
86,4.0,4.0,8.0,0.0,6.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,0,2.0,2.0,3.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0
,0.95,0.1711,4.0,0.833,4.0,1.812,228.0,106.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,0.024,0.0,4.0,0.024,0.05,1.0,2.95,0.0032,1.0,6.0,2.0,1.71,-9.97,-8.03,91.0,0.0,0.0,1.885,8.3,173.7
87,4.0,4.0,0.0,6.0,7.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.41,0.3424,1.0,0.755,2.0,1.2,121.0,835.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0427,5.0,3.0,0.0427,0.05,0.0,1.079,0.068,0.0,0.0,2.0,1.6640000000000001,-2.66,0.66,41.0,,1.0,1.96,39.0,43.0
52,4.0,4.0,8.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,0.428,0.3343,4.0,0.785,1.0,1.3719999999999999,180.0,108.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,0.041,3.0,1.0,0.041,0.05,0.0,3.395,0.00068,1.0,0.0,2.0,-1.911,-6.98,-5.02,61.0,8.0,0.0,-1.419,20.82,101.17
75,4.0,4.0,8.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0
,0.0,0.5,0.0,0.355,2.0,2.576,282.0,96.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0393,0.0,2.0,0.0393,0.05,0.0,1.1697,0.2421,0.0,7.0,2.0,2.097,-10.303,-3.697,27.0,9.0,2.0,2.282,-9.9,63.9
84,4.0,4.0,8.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
