Total,5800333,,5800339.0,5800344,5800346.0,5800350.0,,5800354.0,5800356.0,,,,,,,,5800357.0,,,,,,,,,,,,5800358.0,,,,5800362,,,,,
85,0,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,0.3573,0.4673,8.0,0.2,3.0,1.44,208.0,99.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0,4.0,2.0,0,0.05,1.0,1.9729999999999999,0.0526,1.0,5.0,2.0,1.4677,-14.49,-11.51,121,5.0,0.0,2.1390000000000002,0,242
49,3,0,0.0,0,0.0,3.0,3.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,2.0,0,2.0,0.0,0,0,0.0,0.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,0.4623,0.3219,1.0,,5.0,1.5550000000000002,286.0,130.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0339,2.0,5.0,0.0339,0.05,1.0,2.3449999999999998,0.0193,1.0,4.0,2.0,1.32324,-10.78,-7.22,126,0.0,1.0,2.427,-19.7,271.7
72,3,3,8.0,0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,0,0.5,1.0,0.875,5.0,1.645,180.0,96.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0281,1.0,5.0,0.0281,0.05,0.0,2.633,0.0085,1.0,0.0,2.0,1.365,-3.38,-2.62,178,2.0,0.0,2.669,-48.5,404.5
88,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,0.1852,0.4265,10.0,0.929,1.0,2.17,115.0,99.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0255,2.0,4.0,0.0255,0.05,0.0,1.494,0.1352,0.0,0.0,2.0,1.7603,-9.4237,-8.5763,34,8.0,2.0,2.104,0,68
89,0,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,0.5345,0.2965,11.0,0.667,6.0,1.645,286.0,106.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0488,0.0,0.0,0.0488,0.05,0.0,2.42,0.0155,1.0,6.0,2.0,1.28718,-5.05,-2.95,153,4.0,0.0,2.495,-32.9,338.9
75,0,3,0.0,0,0.0,3.0,3.0,8.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,1.0767,0.1408,2.0,0.75,6.0,1.405,156.0,95.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0309,2.0,5.0,0.0309,0.05,0.0,2.325,0.01004,1.0,2.0,2.0,1.2971300000000001,-9.36,-8.64,39,3.0,1.0,6.965,-73.6,151.6
85,0,3,8.0,6,6.0,3.0,3.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,0,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,1.1253,0.1051,2.0,0.067,1.0,1.341,125.0,110.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0299,2.0,5.0,0.0299,0.05,2.0,Cannot Do,Cannot Do,2.0,9.0,2.0,1.3286,-11.26,-2.74,68,7.0,1.0,2.495,-41.5,177.5
67,3,0,0.0,0,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2,0.0,2.0,2,2.0,0.0,0,0,2.0,2.0,2.0,2.0,0,0,2,2.0,2.0,2,2,2
,0.8609,0.1946,4.0,0.833,0.0,2.576,257.0,61.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.028,0.0,2.0,0.028,0.05,0.0,1.29,0.197,0.0,2.0,2.0,1.6839,-6.5,-5.5,68,9.0,1.0,2.081,-33,169
80,3,3,0.0,6,6.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,0.0,2,2,2,2.0,2.0,0,2,2
,0.8065,0.2098,0.0,0.833,4.0,1.96,102.0,108.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0392,3.0,1.0,0.0392,0.05,0.0,1.045,0.2961,0.0,6.0,1.0,1.62,-10.24,-5.76,54,8.0,0.0,2.383,-42.3,150.3
84,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,0.0,2.0,2,2,2,2.0,2.0,2,2,2
,0.0563,0.4776,2.0,0.833,6.0,2.326,144.0,110.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0299,4.0,4.0,0.0299,0.05,0.0,2.134,0.0328,1.0,2.0,2.0,2.403,-14.3,-7.7,20,7.0,1.0,2.92,-3.6,43.6
83,0,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,1.0161,0.1548,1.0,0.917,5.0,2.17,222.0,96.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0458,5.0,4.0,0.0458,0.05,0.0,1.341,0.1798,0.0,2.0,2.0,1.7076500000000001,-2.23,0.23,135,0.0,0.0,1.8860000000000001,10.9,259.1
86,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,1.0997,0.136,1.0,0.875,0.0,1.514,189.0,101.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0497,1.0,4.0,0.0497,0.05,0.0,2.806,0.005,1.0,4.0,2.0,1.3719999999999999,-8.85,-7.15,77,3.0,2.0,3.182,-103.1,257.1
86,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,1.1694,0.12112,11.0,0.833,0.0,1.405,272.0,102.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0384,4.0,4.0,0.0384,0.05,0.0,0.286,0.7749,0.0,8.0,2.0,1.713,-4.15,-1.85,53,5.0,2.0,3.104,-22.3,128.27
84,3,3,0.0,6,0.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,0,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,0.2884,0.3865,6.0,0.25,1.0,1.881,160.0,102.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0284,1.0,2.0,0.0284,0.05,0.0,2.465,0.0137,1.0,2.0,2.0,1.3020399999999999,-12.13724,-5.86276,69,1.0,1.0,4.849,19.965,118.035
74,3,3,0.0,0,0.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,0,0
,0.1255,0.4501,1.0,0.833,0.0,1.475,134.0,94.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0489,3.0,1.0,0.0489,0.05,0.0,2.042,0.0412,1.0,2.0,0.0,2.17,-9.06,-6.9399999999999995,72,6.0,1.0,2.62,-43,187
83,0,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,0.0,2.0,2,2,2,2.0,2.0,2,2,2
