Total,5713052.0,,5713057.0,5713063.0,5713329.0,,5772114.0,5713387.0,,,,,,,,5713426.0,,,,,,,,,,,,5713447.0,,,,5713466,,,,,,5681783.0,,
100,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,1.15,0.1259,1.0,0.875,1.254,231.0,99.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0413,0.0,0.0,0.0413,0.05,0.0,3.0135,0.0026,1.0,4.0,2.0,1.72,-8.61,-5.39,40,7.0,1.0,2.026,3.7,76.3,3.0,0.0,3.0
100,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.67,0.2527,3.0,0.5625,2.17,272.0,92.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0476,2.0,5.0,0.0476,0.05,1.0,0.9966,0.319,0.0,3.0,3.0,1.983,-4.9,-1.1,77,8.0,0.0,2.92,-68,222.0,3.0,0.0,2.0
86,3.0,3.0,8.0,0.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.9,0.18,2.0,0.929,1.5550000000000002,145.0,90.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0386,5.0,4.0,0.0386,0.05,0.0,1.9550999999999998,0.0506,0.0,4.0,2.0,1.3900000000000001,-16.37,-15.63,168,8.0,2.0,2.383,-34.3,370.3,3.0,2.0,4.0
96,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,1.11,0.1335,1.0,0.9,1.175,171.0,90.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0316,0.0,3.0,0.0316,0.05,0.0,2.183,0.029,1.0,4.0,2.0,1.446,-12.67,-11.33,22,1.0,2.0,68.415,-46.4,90.4,0.0,1.0,3.0
92,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0,2.0,2.0,0.0,0,0.0,2.0,2.0,2.0
,1.1400000000000001,0.1271,3.0,0.917,1.15,147.0,101.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0468,5.0,4.0,0.0468,0.05,0.0,2.051,0.0403,1.0,5.0,2.0,1.3820000000000001,-3.58,-2.42,80,10.0,1.0,3.32,-38.8,198.8,3.0,3.0,0.0
94,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
