Total,5811293.0,5811096.0,,,,5810989.0,,,5810965.0,,,5788012.0,5806181.0,5784980,,5810956.0,,,,5810963.0,,,,5723574,5723577.0,5810958.0,,5810957.0,,,,,,,,5810955.0,,,,,,,,,5810935.0,,,,,,5810954.0,5810933.0,,,,,,,,,,,,5810927.0,,,
95,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2296.0,1.0,7.1515,0.577,0.735,1.0,6.0,0.0,20.339,0.572,2.8289999999999997,0.2244,6.0,6.889,4.5280000000000005,1.0,-13.4667,-16.0918,-13.3682,4.0,1.887,0.0672,1.0,0.1389,0.41066,0.1489,0.4245,5.0,1.0,0.05,2.0,3.544,0.06,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.308,0.758,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.077,2.0,4.0,5.4,1.0,1.0,5.4,0.05,0.0,-2.84,0.00452,,3.0,0.0,8.9632,0.2115,0.2948
65,3.0,1.0,0,0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,4,0,1.0,0.0,2,1.0,1.0,1.0,1.0,1.0,0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
,2500.0,1.0,1.557,0.635,1.024,5.0,5.0,6.0,20.112,0.77,2.83,0.0857,7.0,6.889,4.543,1.0,1.303,-17.851,-15.269,1.0,1.899,0.065,0.0,0.16,0.46632,0.1018,0.3032,1.0,5.0,0.05,0.0,1.97,0.049,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.862,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.075,5.0,1.0,5.3,4.0,1.0,5.3,0.05,0.0,-3.07,0.0021,1.0,2.0,0.0,1.514,0.208,0.284
97,3.0,1.0,1,1,1.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2731.0,1.0,1.283,0.839,1.073,3.0,1.0,0.0,20.209,-0.03,2.77,0.1188,1.0,6.889,201.531,1.0,2.255,-25.464,-18.936,4.0,1.815,0.079,0.0,0.1646,0.24685,0.2628,0.4874,4.0,5.0,0.05,0.0,2.0,0.0455,1.0,1.0,2.0,2.0,0.0,4.0,3.0,0.0,2.9130000000000003,0.002,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.072,5.0,2.0,5.6,5.0,5.0,5.6,0.05,0.0,-3.281,0.001,1.0,1.0,0.0,1.405,0.269,0.345
90,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2944.0,1.0,1.651,0.797,1.1400000000000001,2.0,5.0,3.0,20.256,0.153,2.627,0.1315,2.0,6.889,4.543,1.0,2.7,-23.153,-18.627,0.0,1.783,0.085,0.0,0.174,0.29834,0.1971,0.3661,3.0,2.0,0.05,0.0,1.9100000000000001,0.056,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.64,0.005,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.057,4.0,0.0,6.0,3.0,1.0,6.0,0.05,0.0,-3.172,0.0015,1.0,3.0,0.0,1.44,0.261,0.338
100,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2362.0,1.0,1.227,0.989,1.202,1.0,1.0,1.0,20.33,0.614,2.746,0.2222,2.0,6.889,4.543,1.0,1.506,-24.389,-20.991,3.0,2.755,0.0098,1.0,0.1546,0.68137,0.461,0.625,3.0,1.0,0.05,0.0,1.81,0.0696,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.634,0.005,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.204,1.0,4.0,5.1,0.0,3.0,5.1,0.05,0.0,-2.121,0.0339,1.0,3.0,0.0,1.645,0.188,0.268
100,3.0,1.0,1,1,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,714.0,1.0,2.462,1.203,1.603,0.0,4.0,2.0,20.459,0.659,2.8609999999999998,0.1594,4.0,6.889,4.543,1.0,2.251,-24.78,-22.74,1.0,2.096,0.044,1.0,0.1254,0.25032,0.0899,0.2767,5.0,2.0,0.05,0.0,1.88,0.1702,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.44,0.008,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.138,0.0,2.0,5.5,1.0,1.0,5.5,0.05,0.0,-2.98,0.0029,1.0,7.0,0.0,1.405,0.084,0.134
101,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,1453.0,1.0,1.4060000000000001,1.052,1.323,4.0,4.0,5.0,20.393,0.98,4.18,0.0864,3.0,6.889,4.543,1.0,1.5550000000000002,-25.678,-20.022,0.0,2.364,0.025,1.0,0.164,0.72348,0.3457,0.5585,1.0,2.0,0.05,0.0,2.1,0.0355,1.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,2.657,0.005,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.222,5.0,5.0,5.1,2.0,2.0,5.1,0.05,0.0,-2.713,0.007,1.0,6.0,0.0,1.282,0.233,0.299
97,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,1120.0,1.0,2.462,1.211,1.78,2.0,2.0,1.0,20.244,0.099,3.061,0.1938,6.0,6.889,4.543,1.0,2.112,-26.641,-24.719,3.0,1.979,0.056,0.0,0.1434,0.21204,0.0584,0.243,1.0,5.0,0.05,0.0,2.17,0.03,1.0,1.0,5.0,2.0,0.0,5.0,4.0,0.0,3.327,0.001,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.11,4.0,5.0,5.3,4.0,1.0,5.3,0.05,0.0,-1.837,0.0662,0.0,9.0,0.0,1.405,0.145,0.206
96,3.0,1.0,1,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2229.0,1.0,1.5190000000000001,1.4689999999999999,1.696,0.0,4.0,4.0,20.132,0.851,4.009,0.1209,5.0,6.889,4.543,1.0,-1.7770000000000001,-22.983,-21.357,4.0,1.982,0.0568,1.0,1.8239999999999998,0.87966,0.0715,0.3249,5.0,1.0,0.05,0.0,1.51,0.0655,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.9100000000000001,0.028,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.091,5.0,3.0,5.9,2.0,4.0,5.9,0.05,0.0,-3.1804,0.00148,1.0,1.0,0.0,1.341,0.054,0.096
